Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.710000,3.740000,3.650000,3.680000,2.454023,10462800
2010-01-05,3.680000,3.770000,3.650000,3.760000,2.507371,21226600
2010-01-06,3.750000,3.890000,3.720000,3.860000,2.574056,18761000
2010-01-07,3.850000,4.350000,3.830000,4.290000,2.860804,66130600
2010-01-08,4.230000,4.370000,4.130000,4.220000,2.814123,29869600
2010-01-11,4.310000,4.440000,4.210000,4.330000,2.887478,28307500
2010-01-12,4.260000,4.420000,4.150000,4.210000,2.807456,25239200
2010-01-13,4.210000,4.340000,4.080000,4.310000,2.874140,26868200
2010-01-14,4.310000,4.450000,4.270000,4.410000,2.940827,24295600
2010-01-15,4.400000,4.410000,4.220000,4.280000,2.854136,17671600
2010-01-19,4.270000,4.360000,4.210000,4.300000,2.867472,15203200
2010-01-20,4.250000,4.410000,4.230000,4.290000,2.860804,20893700
2010-01-21,4.380000,4.750000,4.370000,4.530000,3.020849,63969900
2010-01-22,4.420000,4.870000,4.250000,4.690000,3.127545,61227600
2010-01-25,4.770000,4.940000,4.650000,4.800000,3.200900,34705900
2010-01-26,4.860000,4.990000,4.600000,4.600000,3.067528,45439900
2010-01-27,4.670000,4.900000,4.650000,4.880000,3.254247,34009000
2010-01-28,5.080000,5.090000,4.920000,4.990000,3.327601,40498900
2010-01-29,5.050000,5.050000,4.740000,4.790000,3.194231,27561700
2010-02-01,4.850000,4.940000,4.780000,4.900000,3.267585,18652800
2010-02-02,4.880000,4.940000,4.820000,4.930000,3.287590,35142400
2010-02-03,4.880000,4.900000,4.630000,4.710000,3.140881,41303100
2010-02-04,4.660000,4.680000,4.460000,4.540000,3.027516,35832300
2010-02-05,4.560000,4.690000,4.400000,4.630000,3.087534,25099500
2010-02-08,4.680000,4.730000,4.530000,4.580000,3.054190,17834600
2010-02-09,4.660000,4.730000,4.570000,4.650000,3.100871,17433300
2010-02-10,4.610000,4.750000,4.610000,4.710000,3.140881,14027800
2010-02-11,4.750000,4.810000,4.680000,4.790000,3.194231,16127900
2010-02-12,4.710000,4.770000,4.620000,4.680000,3.120877,13711900
2010-02-16,4.730000,4.820000,4.700000,4.820000,3.214236,14918600
2010-02-17,4.830000,4.880000,4.730000,4.760000,3.174225,12692100
2010-02-18,4.760000,4.800000,4.690000,4.720000,3.147551,11941600
2010-02-19,4.720000,4.850000,4.710000,4.850000,3.234242,11149600
2010-02-22,4.910000,4.950000,4.880000,4.930000,3.287590,16529800
2010-02-23,4.890000,4.950000,4.800000,4.810000,3.207567,13714300
2010-02-24,4.860000,4.940000,4.830000,4.890000,3.260915,12362900
2010-02-25,4.760000,4.840000,4.750000,4.800000,3.200900,10031300
2010-02-26,4.800000,4.840000,4.760000,4.810000,3.207567,9186500
2010-03-01,4.860000,4.880000,4.750000,4.800000,3.200900,7019800
2010-03-02,4.840000,4.870000,4.790000,4.830000,3.220904,11973800
2010-03-03,4.840000,4.870000,4.770000,4.810000,3.207567,10153200
2010-03-04,4.830000,4.840000,4.790000,4.810000,3.207567,5681800
2010-03-05,4.860000,4.960000,4.820000,4.960000,3.307596,14761100
2010-03-08,5.000000,5.030000,4.890000,4.960000,3.307596,12788000
2010-03-09,4.930000,5.140000,4.850000,5.030000,3.354275,21012700
2010-03-10,5.190000,5.440000,5.150000,5.250000,3.500984,39935500
2010-03-11,5.300000,5.620000,5.290000,5.400000,3.601011,54603100
2010-03-12,5.580000,5.620000,5.400000,5.470000,3.647691,26892500
2010-03-15,5.430000,5.450000,5.270000,5.410000,3.607679,22332300
2010-03-16,5.480000,5.530000,5.420000,5.530000,3.694531,18207300
2010-03-17,5.640000,5.810000,5.600000,5.760000,3.848194,32758400
2010-03-18,5.810000,5.810000,5.470000,5.500000,3.674489,32948700
2010-03-19,5.510000,5.550000,5.290000,5.320000,3.554233,37237600
2010-03-22,5.190000,5.520000,5.140000,5.470000,3.654445,22213500
2010-03-23,5.500000,5.540000,5.380000,5.480000,3.661128,24917400
2010-03-24,5.460000,5.540000,5.440000,5.480000,3.661128,20073200
2010-03-25,5.580000,5.690000,5.490000,5.500000,3.674489,25154200
2010-03-26,5.610000,5.650000,5.400000,5.470000,3.654445,23286100
2010-03-29,5.540000,5.550000,5.380000,5.450000,3.641083,14392400
2010-03-30,5.470000,5.500000,5.350000,5.410000,3.614360,11651500
2010-03-31,5.350000,5.500000,5.320000,5.390000,3.600998,16615500
2010-04-01,5.480000,5.500000,5.320000,5.390000,3.600998,11268500
2010-04-05,5.420000,5.550000,5.390000,5.530000,3.694531,17259300
2010-04-06,5.540000,5.850000,5.500000,5.850000,3.908319,37087600
2010-04-07,5.880000,6.050000,5.810000,5.890000,3.935042,35276600
2010-04-08,5.880000,6.050000,5.700000,5.900000,3.941725,29871500
2010-04-09,6.000000,6.000000,5.820000,5.860000,3.915002,21108300
2010-04-12,5.890000,6.080000,5.850000,6.030000,4.028577,24430800
2010-04-13,5.880000,5.880000,5.570000,5.690000,3.801425,51725500
2010-04-14,5.830000,5.950000,5.780000,5.880000,3.928363,31518700
2010-04-15,5.900000,5.950000,5.730000,5.750000,3.841510,24467800
2010-04-16,5.760000,5.760000,5.290000,5.560000,3.714574,45066500
2010-04-19,5.500000,5.620000,5.260000,5.490000,3.667809,33650200
2010-04-20,5.580000,5.850000,5.470000,5.830000,3.894957,37734900
2010-04-21,6.160000,6.800000,6.110000,6.590000,4.402705,118063900
2010-04-22,6.680000,6.980000,6.560000,6.890000,4.603133,54644000
2010-04-23,7.100000,7.280000,7.030000,7.170000,4.790197,55055600
2010-04-26,7.240000,7.400000,6.850000,6.860000,4.583089,40319800
2010-04-27,6.700000,6.860000,6.560000,6.680000,4.462834,35501300
2010-04-28,6.780000,6.940000,6.620000,6.730000,4.496237,29130000
2010-04-29,6.850000,6.960000,6.750000,6.870000,4.589771,18829200
2010-04-30,6.850000,7.040000,6.730000,6.760000,4.516282,28582700
2010-05-03,6.840000,6.920000,6.760000,6.880000,4.596451,13053800
2010-05-04,6.800000,6.840000,6.630000,6.670000,4.456152,22622400
2010-05-05,6.530000,6.870000,6.460000,6.550000,4.375982,42628900
2010-05-06,6.520000,6.720000,5.660000,6.230000,4.162195,50405100
2010-05-07,6.200000,6.380000,5.860000,6.010000,4.015215,38180200
2010-05-10,6.490000,6.570000,6.270000,6.490000,4.335897,33560400
2010-05-11,6.370000,6.710000,6.330000,6.480000,4.329215,32663800
2010-05-12,6.740000,6.870000,6.690000,6.770000,4.522961,37676400
2010-05-13,6.810000,6.950000,6.710000,6.760000,4.516282,29913000
2010-05-14,6.660000,6.690000,6.440000,6.530000,4.362620,33066600
2010-05-17,6.540000,6.620000,6.280000,6.500000,4.342577,22873800
2010-05-18,6.600000,6.600000,6.080000,6.160000,4.115427,33016500
2010-05-19,6.100000,6.370000,6.010000,6.150000,4.108747,29417700
2010-05-20,5.920000,6.020000,5.760000,5.850000,3.908319,45452700
2010-05-21,5.690000,6.240000,5.620000,6.240000,4.168874,38619300
2010-05-24,6.270000,6.270000,5.980000,6.000000,4.008533,21195200
2010-05-25,5.670000,5.990000,5.660000,5.960000,3.981810,31690200
2010-05-26,6.110000,6.170000,5.980000,6.010000,4.015215,16251900
2010-05-27,6.180000,6.250000,6.070000,6.240000,4.168874,15180400
2010-05-28,6.280000,6.320000,6.100000,6.160000,4.115427,13165500
2010-06-01,6.090000,6.260000,5.920000,5.930000,3.961766,14126400
2010-06-02,6.050000,6.170000,5.980000,6.170000,4.122109,13098000
2010-06-03,6.220000,6.250000,6.030000,6.110000,4.082024,12740600
2010-06-04,5.950000,6.050000,5.780000,5.830000,3.894957,17932500
2010-06-07,5.860000,5.910000,5.540000,5.570000,3.721255,17001800
2010-06-08,5.630000,5.720000,5.400000,5.720000,3.821468,20253100
2010-06-09,5.760000,5.850000,5.690000,5.710000,3.814788,18792500
2010-06-10,5.840000,5.920000,5.760000,5.910000,3.948404,18081800
2010-06-11,5.800000,6.120000,5.730000,6.110000,4.082024,15897600
2010-06-14,6.210000,6.250000,6.050000,6.080000,4.061981,13577000
2010-06-15,6.150000,6.300000,6.050000,6.290000,4.209201,13169800
2010-06-16,6.200000,6.240000,6.090000,6.140000,4.108823,11437300
2010-06-17,6.160000,6.190000,5.940000,6.030000,4.035213,12376800
2010-06-18,6.040000,6.090000,5.970000,6.050000,4.048598,9631900
2010-06-21,6.120000,6.170000,6.000000,6.050000,4.048598,10427600
2010-06-22,6.050000,6.120000,5.950000,5.960000,3.988369,14987900
2010-06-23,5.980000,6.040000,5.830000,5.850000,3.914758,12883700
2010-06-24,5.790000,5.900000,5.730000,5.740000,3.841147,10764100
2010-06-25,5.860000,6.010000,5.740000,6.000000,4.015137,13915100
2010-06-28,6.000000,6.010000,5.860000,5.930000,3.968293,9919200
2010-06-29,5.820000,5.820000,5.600000,5.630000,3.767538,20768900
